"item_code","Cmt1","Cmt2","Cmt3","Cmt4","Cnf1","Cnf2","Cnf3","Cnf4","Cop1","Cop2","Cop3","Cop4","Cmp1","Cmp2","Cmp3","Cmp4"
"Cmt1",1,0.612876774522955,0.554630789511599,0.498622981716589,0.213426309814894,0.307570487789128,0.174819543763893,0.0824750527379211,0.0632535223637649,0.06566893205234,-0.017583196924366,0.00851765668929028,0.0710253893413858,0.0870598130014672,0.0893881729399578,0.304286299537365
"Cmt2",0.612876774522955,1,0.496975092675506,0.399140249949898,0.126857098035649,0.230666665465843,0.163699836197613,0.106451862020075,0.0540486503881546,0.0171925761240019,-0.0112800758349427,0.018437829095224,0.0584300844648764,0.114217618965154,0.0505031021624122,0.280521591718634
"Cmt3",0.554630789511599,0.496975092675506,1,0.455563774601308,0.242714507723126,0.301290330345805,0.221021100701946,0.197474230118979,0.0979649355897232,0.0779445906030977,0.0516408383991817,0.0210242415075308,0.074630629151988,0.104780678141762,2.13028852113299e-05,0.226558254348425
"Cmt4",0.498622981716589,0.399140249949898,0.455563774601308,1,0.343283771067927,0.324411604521245,0.227019193320374,0.228598687142151,0.108472393363504,0.102357781139232,0.082155839550072,0.0116342388749999,0.0196032096785186,-0.00883530069084311,-0.0205963565988181,0.109315116483202
"Cnf1",0.213426309814894,0.126857098035649,0.242714507723126,0.343283771067927,1,0.542245251737839,0.54053700230856,0.461083683552125,0.0996789584049988,0.123332548447104,0.00854169422211004,0.0530151738921743,0.0902046236181335,0.0701390634604274,0.0604532669341084,0.0953500738065033
"Cnf2",0.307570487789128,0.230666665465843,0.301290330345805,0.324411604521245,0.542245251737839,1,0.529713976226018,0.497327426424806,0.25691932774319,0.182157758686952,0.0914231476498584,0.0808436819060433,0.0867486487148459,0.144517530840671,0.109209012270074,0.161777106551088
"Cnf3",0.174819543763893,0.163699836197613,0.221021100701946,0.227019193320374,0.54053700230856,0.529713976226018,1,0.404372550120378,0.136265711088836,0.119339489883575,0.0618917215389185,0.0690776798893318,0.0600216741361321,0.0485771847734073,0.0664361380402266,0.0552221146787247
"Cnf4",0.0824750527379211,0.106451862020075,0.197474230118979,0.228598687142151,0.461083683552125,0.497327426424806,0.404372550120378,1,0.332490271032842,0.304341917017959,0.255819199787876,0.253305591944702,0.166901768140063,0.112154759962948,0.109176904029701,0.068193032413716
"Cop1",0.0632535223637649,0.0540486503881546,0.0979649355897232,0.108472393363504,0.0996789584049988,0.25691932774319,0.136265711088836,0.332490271032842,1,0.598110466207,0.526543269452074,0.439745709825513,0.0117518751925763,0.214156284714811,0.127707775326329,0.0238595845001701
"Cop2",0.06566893205234,0.0171925761240019,0.0779445906030977,0.102357781139232,0.123332548447104,0.182157758686952,0.119339489883575,0.304341917017959,0.598110466207,1,0.543072576270687,0.503482527070055,0.187760444854171,0.286722690662945,0.202935982713875,0.0324638656590209
"Cop3",-0.017583196924366,-0.0112800758349427,0.0516408383991817,0.082155839550072,0.00854169422211004,0.0914231476498584,0.0618917215389185,0.255819199787876,0.526543269452074,0.543072576270687,1,0.408204732311585,0.138651026204365,0.173359475360491,0.110286414709597,-0.0275791447536945
"Cop4",0.00851765668929028,0.018437829095224,0.0210242415075308,0.0116342388749999,0.0530151738921743,0.0808436819060433,0.0690776798893318,0.253305591944702,0.439745709825513,0.503482527070055,0.408204732311585,1,0.342051521586777,0.423631130852231,0.292450444058655,0.141185899593523
"Cmp1",0.0710253893413858,0.0584300844648764,0.074630629151988,0.0196032096785186,0.0902046236181335,0.0867486487148459,0.0600216741361321,0.166901768140063,0.0117518751925763,0.187760444854171,0.138651026204365,0.342051521586777,1,0.602696865790853,0.521857721761108,0.435938843623746
"Cmp2",0.0870598130014672,0.114217618965154,0.104780678141762,-0.00883530069084311,0.0701390634604274,0.144517530840671,0.0485771847734073,0.112154759962948,0.214156284714811,0.286722690662945,0.173359475360491,0.423631130852231,0.602696865790853,1,0.50587987301259,0.362247976767106
"Cmp3",0.0893881729399578,0.0505031021624122,2.13028852113299e-05,-0.0205963565988181,0.0604532669341084,0.109209012270074,0.0664361380402266,0.109176904029701,0.127707775326329,0.202935982713875,0.110286414709597,0.292450444058655,0.521857721761108,0.50587987301259,1,0.325956279353235
"Cmp4",0.304286299537365,0.280521591718634,0.226558254348425,0.109315116483202,0.0953500738065033,0.161777106551088,0.0552221146787247,0.068193032413716,0.0238595845001701,0.0324638656590209,-0.0275791447536945,0.141185899593523,0.435938843623746,0.362247976767106,0.325956279353235,1
